date,meantempm,maxtempm,mintempm,meantempm_1,meantempm_2,meantempm_3,meandewptm_1,meandewptm_2,meandewptm_3,meanpressurem_1,meanpressurem_2,meanpressurem_3,maxhumidity_1,maxhumidity_2,maxhumidity_3,minhumidity_1,minhumidity_2,minhumidity_3,maxtempm_1,maxtempm_2,maxtempm_3,mintempm_1,mintempm_2,mintempm_3,maxdewptm_1,maxdewptm_2,maxdewptm_3,mindewptm_1,mindewptm_2,mindewptm_3,maxpressurem_1,maxpressurem_2,maxpressurem_3,minpressurem_1,minpressurem_2,minpressurem_3,precipm_1,precipm_2,precipm_3
2009-01-05,-10.0,-5.0,-18.0,-5.916666666666667,-8.0,-7.666666666666667,-6.541666666666667,-8.416666666666666,-8.208333333333334,1011.5,1018.625,1020.2916666666666,98.0,97.0,98.0,93.0,94.0,96.0,-5.0,-6.0,-4.0,-8.0,-11.0,-11.0,-5.0,-7.0,-4.0,-8.0,-11.0,-11.0,1015.0,1021.0,1022.0,1010.0,1016.0,1016.0,0.0,0.0,0.0
2009-01-06,-16.0,-11.0,-19.0,-10.0,-5.916666666666667,-8.0,-9.708333333333334,-6.541666666666667,-8.416666666666666,1020.5,1011.5,1018.625,99.0,98.0,97.0,98.0,93.0,94.0,-5.0,-5.0,-6.0,-18.0,-8.0,-11.0,-5.0,-5.0,-7.0,-15.0,-8.0,-11.0,1028.0,1015.0,1021.0,1014.0,1010.0,1016.0,0.0,0.0,0.0
2009-01-07,-12.625,-9.0,-17.0,-16.0,-10.0,-5.916666666666667,-12.958333333333334,-9.708333333333334,-6.541666666666667,1028.875,1020.5,1011.5,100.0,99.0,98.0,95.0,98.0,93.0,-11.0,-5.0,-5.0,-19.0,-18.0,-8.0,-8.0,-5.0,-5.0,-16.0,-15.0,-8.0,1030.0,1028.0,1015.0,1027.0,1014.0,1010.0,0.0,0.0,0.0
2009-01-08,-8.125,-5.0,-11.0,-12.625,-16.0,-10.0,-12.458333333333334,-12.958333333333334,-9.708333333333334,1021.375,1028.875,1020.5,98.0,100.0,99.0,97.0,95.0,98.0,-9.0,-11.0,-5.0,-17.0,-19.0,-18.0,-9.0,-8.0,-5.0,-16.0,-16.0,-15.0,1027.0,1030.0,1028.0,1016.0,1027.0,1014.0,0.0,0.0,0.0
2009-01-09,-5.25,-2.0,-11.0,-8.125,-12.625,-16.0,-8.458333333333334,-12.458333333333334,-12.958333333333334,1019.2916666666666,1021.375,1028.875,98.0,98.0,100.0,97.0,97.0,95.0,-5.0,-9.0,-11.0,-11.0,-17.0,-19.0,-6.0,-9.0,-8.0,-11.0,-16.0,-16.0,1027.0,1027.0,1030.0,1013.0,1016.0,1027.0,0.0,0.0,0.0
2009-01-10,-2.25,0.0,-8.0,-5.25,-8.125,-12.625,-5.916666666666667,-8.458333333333334,-12.458333333333334,1021.2083333333334,1019.2916666666666,1021.375,98.0,98.0,98.0,96.0,97.0,97.0,-2.0,-5.0,-9.0,-11.0,-11.0,-17.0,-3.0,-6.0,-9.0,-11.0,-11.0,-16.0,1028.0,1027.0,1027.0,1017.0,1013.0,1016.0,0.0,0.0,0.0
2009-01-11,-5.666666666666667,-3.0,-9.0,-2.25,-5.25,-8.125,-2.625,-5.916666666666667,-8.458333333333334,1022.875,1021.2083333333334,1019.2916666666666,99.0,98.0,98.0,96.0,96.0,97.0,0.0,-2.0,-5.0,-8.0,-11.0,-11.0,0.0,-3.0,-6.0,-7.0,-11.0,-11.0,1033.0,1028.0,1027.0,1017.0,1017.0,1013.0,0.0,0.0,0.0
2009-01-12,-3.6666666666666665,-1.0,-6.0,-5.666666666666667,-2.25,-5.25,-5.666666666666667,-2.625,-5.916666666666667,1034.0416666666667,1022.875,1021.2083333333334,99.0,99.0,98.0,98.0,96.0,96.0,-3.0,0.0,-2.0,-9.0,-8.0,-11.0,-3.0,0.0,-3.0,-9.0,-7.0,-11.0,1035.0,1033.0,1028.0,1033.0,1017.0,1017.0,0.0,0.0,0.0
2009-01-13,-3.4166666666666665,0.0,-5.0,-3.6666666666666665,-5.666666666666667,-2.25,-3.8333333333333335,-5.666666666666667,-2.625,1031.125,1034.0416666666667,1022.875,98.0,99.0,99.0,93.0,98.0,96.0,-1.0,-3.0,0.0,-6.0,-9.0,-8.0,-1.0,-3.0,0.0,-6.0,-9.0,-7.0,1033.0,1035.0,1033.0,1030.0,1033.0,1017.0,0.0,0.0,0.0
2009-01-14,-2.25,0.0,-6.0,-3.4166666666666665,-3.6666666666666665,-5.666666666666667,-3.375,-3.8333333333333335,-5.666666666666667,1027.2083333333333,1031.125,1034.0416666666667,94.0,98.0,99.0,92.0,93.0,98.0,0.0,-1.0,-3.0,-5.0,-6.0,-9.0,-1.0,-1.0,-3.0,-5.0,-6.0,-9.0,1030.0,1033.0,1035.0,1024.0,1030.0,1033.0,0.0,0.0,0.0
